text,target
New and new technology has been introduced to the society .,New technology has been introduced to society .
One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries .
"Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , art , literature and history in order to stand out in society ."
"While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive ."
Disadvantage is parking their car is very difficult .,A disadvantage is that parking their cars is very difficult .
Bigger farming are use more chemical product and substance to feed fish .,Bigger farming is using more chemical products and substances to feed fish .
"Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
"if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will only get some misunderstood idea about that article but not the original one ."
"Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","Secondly , chimps are also capable of learning grammar , meaning they can demonstrate the ability to combine words and utilize grammatical constructions ."
"Nevertheless , this city is having a big change .","Nevertheless , this city is going through a big change ."
